0	[38]	logistic	1.0	0.428260869565	0.426086956522	0.458198220944	-0.567978619993	
3087	[1, 3, 8, 15, 19, 31, 43, 48, 49]	logistic	1.0	0.466304347826	0.391304347826	1.13778434485	[[ 0.46114191]   [ 0.58428658]   [ 1.68060379]   [ 3.01811006]   [ 0.26877381]   [-5.40920195]   [-3.98291816]   [-3.95827046]   [-0.56208653]]	
777	[1, 33, 45]	logistic	1.0	0.520652173913	0.329347826087	0.251467692339	[[ 0.76238436]   [-2.30635749]   [-0.87134384]]	
2317	[8, 18, 20, 21, 28, 42, 57]	logistic	1.0	0.473913043478	0.394565217391	1.43695896612	[[  1.36511423e+00]   [  8.41638151e-01]   [  1.98017390e+00]   [  6.65565922e-01]   [ -1.51635955e+00]   [ -5.38597282e+00]   [  1.04677172e-03]]	
3857	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	logistic	1.0	0.491304347826	0.388043478261	1.85924391868	[[  3.01032765e-01]   [  6.71631078e-01]   [  4.60350105e-01]   [  1.67402459e-01]   [ -6.50305440e+00]   [ -1.16641501e+02]   [ -2.60808072e-01]   [ -3.80033123e-01]   [ -4.03602306e+00]   [  9.55211624e+00]   [  1.71561994e-02]]	
8	[38]	ridge	1.0	0.597826086957	0.0	-0.213959541795	-0.153407906047	
1548	[6, 13, 29, 33, 48]	ridge	1.0	0.665217391304	0.0945652173913	-0.269229222292	[[ 0.84338961]   [ 0.32919199]   [-0.19729684]   [-0.17942408]   [-0.39687257]]	
3088	[1, 3, 8, 15, 19, 31, 43, 48, 49]	ridge	1.0	0.733695652174	0.184782608696	-0.520463329497	[[ 0.24415016]   [ 0.23931353]   [ 0.48970999]   [ 0.5688631 ]   [ 0.11406584]   [-0.18777893]   [-0.51807808]   [-0.23615398]   [-0.11332501]]	
778	[1, 33, 45]	ridge	1.0	0.609782608696	0.0315217391304	-0.192500865129	[[ 0.33363969]   [-0.19660087]   [-0.13172661]]	
2318	[8, 18, 20, 21, 28, 42, 57]	ridge	1.0	0.751086956522	0.209782608696	-0.576275249356	[[ 0.29586554]   [ 0.25239904]   [ 0.20037091]   [ 0.24092828]   [-0.20665723]   [-0.11058939]   [ 0.00038609]]	
9	[38]	ridge	1.0	0.60652173913	0.0	-0.209690821195	-0.15860606055	
1549	[6, 13, 29, 33, 48]	ridge	1.0	0.671739130435	0.0989130434783	-0.269094520113	[[ 0.68389942]   [ 0.30566347]   [-0.18179661]   [-0.17693205]   [-0.23036788]]	
3858	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	ridge	1.0	0.76847826087	0.215217391304	-0.606975750167	[[ 0.20520133]   [ 0.22642358]   [ 0.21901869]   [ 0.0963692 ]   [-0.26902045]   [ 0.09246624]   [-0.0589299 ]   [-0.05205802]   [-0.11395505]   [ 0.82310093]   [ 0.00143738]]	
3089	[1, 3, 8, 15, 19, 31, 43, 48, 49]	ridge	1.0	0.710869565217	0.166304347826	-0.527426555863	[[ 0.25350145]   [ 0.23137897]   [ 0.41483233]   [ 0.59137984]   [ 0.11986433]   [-0.19248964]   [-0.51415758]   [-0.21381432]   [-0.12802611]]	
779	[1, 33, 45]	ridge	1.0	0.615217391304	0.0369565217391	-0.194322706082	[[ 0.32639145]   [-0.19533209]   [-0.12484095]]	
2319	[8, 18, 20, 21, 28, 42, 57]	ridge	1.0	0.771739130435	0.232608695652	-0.58001358095	[[  3.58065889e-01]   [  2.86748140e-01]   [  1.98920865e-01]   [  2.60892108e-01]   [ -1.87730775e-01]   [ -1.11145961e-01]   [  2.92437023e-04]]	
10	[38]	ridge	1.0	0.596739130435	0.0	-0.214560139173	-0.137997385306	
1550	[6, 13, 29, 33, 48]	ridge	1.0	0.65	0.0847826086957	-0.269278145092	[[ 0.73264506]   [ 0.32215331]   [-0.21338386]   [-0.23162244]   [-0.25274937]]	
3090	[1, 3, 8, 15, 19, 31, 43, 48, 49]	ridge	1.0	0.715217391304	0.170652173913	-0.519000144474	[[ 0.25659645]   [ 0.26901092]   [ 0.42066616]   [ 0.60048665]   [ 0.11069304]   [-0.22325141]   [-0.50986993]   [-0.25150968]   [-0.13746492]]	
3859	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	ridge	1.0	0.803260869565	0.228260869565	-0.566897215706	[[  1.75758428e-01]   [  2.23121610e-01]   [  2.40767536e-01]   [  9.00812923e-02]   [ -1.67959009e-01]   [  8.58262538e-02]   [ -1.60454371e-01]   [ -5.47501277e-02]   [ -1.15550708e-01]   [  1.15174559e+00]   [  4.61064199e-04]]	
780	[1, 33, 45]	ridge	1.0	0.610869565217	0.0336956521739	-0.194336903769	[[ 0.32436756]   [-0.18892336]   [-0.13392918]]	
2320	[8, 18, 20, 21, 28, 42, 57]	ridge	1.0	0.769565217391	0.207608695652	-0.554350310554	[[ 0.27814012]   [ 0.27604094]   [ 0.21119673]   [ 0.25031454]   [-0.2112252 ]   [-0.12932015]   [ 0.00031439]]	
