0	[38]	ridge	0.7	0.610869565217	0.0	-0.207545343352	-0.130111750744	
5	[38]	ridge	0.5	0.620652173913	0.0	-0.202447124761	-0.133638752243	
445	[1, 33, 45]	ridge	0.5	0.632608695652	0.0326086956522	-0.183512622055	[[ 0.32889219]   [-0.20072191]   [-0.12687122]]	
886	[6, 13, 29, 33, 48]	svm	0.7	0.707608695652	0.130434782609	-0.192985697349	[[ 0.68690803]   [ 0.39553933]   [-2.2329968 ]   [-0.56508997]   [-1.36395073]]	
2646	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	svm	0.7	0.844565217391	0.26847826087	-0.230802124818	[[ 0.20029438]   [ 0.24650476]   [ 0.567579  ]   [ 0.92573234]   [ 0.56989461]   [-0.75567294]   [-2.23441858]   [-1.98522345]   [-0.52787889]   [-0.68409269]   [-0.91654375]   [-0.2798425 ]   [ 1.2281853 ]]	
1766	[1, 3, 8, 15, 19, 31, 43, 48, 49]	svm	0.7	0.708695652174	0.178260869565	-0.524686284193	[[ 0.28437104]   [ 0.23666027]   [ 0.59858522]   [ 0.89686738]   [ 0.11533984]   [-1.12111748]   [-1.03471415]   [-1.1303361 ]   [-0.12019528]]	
2206	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	svm	0.7	0.813043478261	0.265217391304	-0.732621486737	[[ 0.16268875]   [ 0.30835442]   [ 0.20400147]   [ 0.07371947]   [-1.46767344]   [-0.78094844]   [-0.07714972]   [-0.04658028]   [-0.8184524 ]   [ 3.7011963 ]   [ 0.00414329]]	
1326	[8, 18, 20, 21, 28, 42, 57]	svm	0.7	0.777173913043	0.227173913043	-0.573670828779	[[  3.60714750e-01]   [  3.41362621e-01]   [  9.82268672e-01]   [  2.59033722e-01]   [ -6.62682601e-01]   [ -9.19054879e-01]   [  3.79415965e-04]]	
446	[1, 33, 45]	svm	0.7	0.616304347826	0.0586956521739	-0.148868214649	[[ 0.35020612]   [-0.62988651]   [-0.29179733]]	
6	[38]	svm	0.7	0.597826086957	0.0	-0.213339013007	-0.272677868283	
887	[6, 13, 29, 33, 48]	svm	0.5	0.697826086957	0.133695652174	-0.209769942076	[[ 0.85366836]   [ 0.3211775 ]   [-2.36354452]   [-0.57771677]   [-1.66667263]]	
1767	[1, 3, 8, 15, 19, 31, 43, 48, 49]	svm	0.5	0.69347826087	0.182608695652	-0.545422633752	[[ 0.2246145 ]   [ 0.25890951]   [ 0.77789853]   [ 1.11223636]   [ 0.12869444]   [-1.34067975]   [-1.10819838]   [-1.30185172]   [-0.11431906]]	
2647	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	svm	0.5	0.847826086957	0.283695652174	-0.228446964636	[[ 0.22227124]   [ 0.24925706]   [ 0.55086929]   [ 0.90085969]   [ 0.54496115]   [-0.73536253]   [-1.55894657]   [-2.43509376]   [-0.63085489]   [-0.61063812]   [-1.05998261]   [-0.24764934]   [ 1.04203927]]	
7	[38]	svm	0.5	0.60652173913	0.0	-0.208633227362	-0.273144053942	
1327	[8, 18, 20, 21, 28, 42, 57]	svm	0.5	0.782608695652	0.23152173913	-0.587973568191	[[  3.72669778e-01]   [  3.21649761e-01]   [  7.70429945e-01]   [  2.53579447e-01]   [ -3.62184033e-01]   [ -9.74652881e-01]   [  4.22784696e-04]]	
447	[1, 33, 45]	svm	0.5	0.642391304348	0.0586956521739	-0.14502214942	[[ 0.37429433]   [-0.60820229]   [-0.2775597 ]]	
2207	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	svm	0.5	0.820652173913	0.254347826087	-0.7456298439	[[ 0.13485582]   [ 0.23369778]   [ 0.2056336 ]   [ 0.07330499]   [-3.5376058 ]   [-0.80370678]   [-0.0431366 ]   [-0.18219513]   [-0.9676263 ]   [ 2.5044448 ]   [ 0.00709842]]	
888	[1, 19, 33, 35, 40]	ridge	0.7	0.65	0.15	-0.416541951607	[[ 0.38029894]   [ 0.12671428]   [-0.19737714]   [-0.22104507]   [ 0.02182742]]	
1768	[1, 13, 15, 17, 25, 36, 43, 56, 57]	ridge	0.7	0.720652173913	0.159782608696	-0.362500933372	[[  2.16896411e-01]   [  2.47801642e-01]   [  5.38801200e-01]   [  5.32391151e-01]   [ -1.14915006e-01]   [ -5.01347258e-02]   [ -3.99041278e-01]   [  3.71794257e-04]   [  2.22872261e-04]]	
1328	[16, 22, 24, 29, 41, 49, 54]	ridge	0.7	0.7	0.115217391304	-0.320188231965	[[ 0.3422519 ]   [ 0.11887753]   [ 0.4936099 ]   [-0.17219445]   [-0.22483505]   [-0.39421522]   [ 0.08304328]]	
2648	[2, 6, 7, 15, 28, 32, 35, 44, 48, 51, 55, 56, 57]	ridge	0.7	0.783695652174	0.195652173913	-0.432342961549	[[ -2.49954267e-02]   [  5.09602725e-01]   [  7.05368127e-01]   [  2.74789310e-01]   [ -1.37645716e-01]   [ -2.85717854e-02]   [ -1.08051770e-01]   [ -9.93747087e-02]   [ -1.98901617e-01]   [ -4.36499167e-01]   [ -1.10739601e-03]   [  1.25775309e-03]   [  2.72301689e-04]]	
8	[46]	ridge	0.7	0.595652173913	0.0	-0.190478208295	-0.149408856794	
2208	[13, 15, 18, 20, 30, 31, 32, 39, 41, 43, 56]	ridge	0.7	0.708695652174	0.146739130435	-0.345201703164	[[ 0.3118661 ]   [ 0.27107971]   [ 0.29474316]   [ 0.25258411]   [-0.31513222]   [-0.13738978]   [ 0.17906859]   [-0.16482423]   [-0.16448767]   [-0.42119395]   [ 0.00173567]]	
448	[23, 42, 47]	ridge	0.7	0.696739130435	0.1	-0.286090952567	[[ 0.96788153]   [-0.14794641]   [-0.42765823]]	
889	[1, 19, 33, 35, 40]	ridge	0.5	0.655434782609	0.141304347826	-0.421970290686	[[ 0.26569994]   [ 0.13609236]   [-0.19948763]   [-0.22030832]   [ 0.01157422]]	
2649	[2, 6, 7, 15, 28, 32, 35, 44, 48, 51, 55, 56, 57]	ridge	0.5	0.771739130435	0.203260869565	-0.431701305219	[[ -2.60101272e-02]   [  5.90168725e-01]   [  6.91718694e-01]   [  2.25843633e-01]   [ -1.46857475e-01]   [ -1.51102103e-02]   [ -9.93437944e-02]   [ -9.62263477e-02]   [ -2.59916401e-01]   [ -5.20818519e-01]   [ -1.20186558e-03]   [  1.44556919e-03]   [  2.27591602e-04]]	
