features	accuracy	lamda	sensitivity	classibias
[1  19  33  35  40]	0.642391304348	0.5	0.15652173913	-0.382401715442
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.810869565217	0.5	0.258695652174	-0.680764119193
[46]	0.604347826087	0.5	0.0	-0.150234357844
[23  42  47]	0.723913043478	0.5	0.109782608696	-0.305988543875
[16  22  24  29  41  49  54]	0.764130434783	0.5	0.177173913043	-0.285603626837
[1  13  15  17  25  36  43  56  57]	0.791304347826	0.5	0.219565217391	-0.394254713419
[7  13  15  21  22  23  33  40  46  47  49]	0.817391304348	0.7	0.241304347826	-0.58397429213
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.860869565217	0.7	0.294565217391	-0.365897519344
[14  24  38  47  54]	0.661956521739	0.7	0.0760869565217	-0.293166590714
[50]	0.596739130435	0.7	0.0	-0.135874557691
[14  26  30  35  36  53  55]	0.788043478261	0.7	0.197826086957	-0.363586677586
[16  28  57]	0.703260869565	0.7	0.158695652174	-0.417597659268
[2  13  17  23  29  37  49  52  53]	0.808695652174	0.7	0.21847826087	-0.479036832624
[7  13  15  21  22  23  33  40  46  47  49]	0.841304347826	0.5	0.248913043478	-0.567092838028
[14  24  38  47  54]	0.673913043478	0.5	0.0760869565217	-0.285940307209
[50]	0.591304347826	0.5	0.0	-0.177745025851
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.847826086957	0.5	0.294565217391	-0.357747379332
[14  26  30  35  36  53  55]	0.822826086957	0.5	0.241304347826	-0.59217373218
[2  13  17  23  29  37  49  52  53]	0.821739130435	0.5	0.23152173913	-0.461085160674
[16  28  57]	0.728260869565	0.5	0.146739130435	-0.397931734284
[4  25  32  35  56]	0.748913043478	0.7	0.180434782609	-0.276002996313
[2  6  14  15  33  34  37  38  39  49  54]	0.707608695652	0.7	0.142391304348	-0.194826274493
[44]	0.595652173913	0.7	0.0	-0.184252645942
[2  7  10  23  24  25  28  33  34  35  38  54  57]	0.859782608696	0.7	0.280434782609	-0.45838775405
[6  9  11  19  27  34  38]	0.735869565217	0.7	0.226086956522	-0.472573887421
[8  21  26  30  33  35  37  50  55]	0.827173913043	0.7	0.25652173913	-0.658423011937
[31  42  55]	0.732608695652	0.7	0.163043478261	-0.605105494399
[4  25  32  35  56]	0.794565217391	0.5	0.213043478261	-0.34827717847
[2  6  14  15  33  34  37  38  39  49  54]	0.704347826087	0.5	0.129347826087	-0.196862361945
[2  7  10  23  24  25  28  33  34  35  38  54  57]	0.83152173913	0.5	0.263043478261	-0.465632959744
[44]	0.589130434783	0.5	0.0	-0.184711647697
[8  21  26  30  33  35  37  50  55]	0.83152173913	0.5	0.241304347826	-0.728847073817
[6  9  11  19  27  34  38]	0.736956521739	0.5	0.202173913043	-0.464981469227
[31  42  55]	0.635869565217	0.5	0.0510869565217	-0.272117575481
[5  11  26  30  43]	0.74347826087	0.7	0.183695652174	-0.216975920324
[1  2  11  17  23  31  35  40  42  44  50]	0.759782608696	0.7	0.188043478261	-0.319077949944
[10]	0.622826086957	0.7	0.0369565217391	-0.255967122068
[8  10  14  23  26  27  38  40  43  44  46  47  48]	0.797826086957	0.7	0.238043478261	-0.048042241858
[13  15  24  26  33  36  41  49  54]	0.727173913043	0.7	0.144565217391	-0.137282909954
[5  11  26  30  43]	0.716304347826	0.5	0.165217391304	-0.23206420823
[2  17  20  28  36  42  56]	0.763043478261	0.7	0.203260869565	-0.432197666751
[1  2  11  17  23  31  35  40  42  44  50]	0.772826086957	0.5	0.198913043478	-0.316416870361
[19  28  36]	0.658695652174	0.7	0.116304347826	-0.38109818104
[10]	0.61847826087	0.5	0.0347826086957	-0.257087266766
[8  10  14  23  26  27  38  40  43  44  46  47  48]	0.801086956522	0.5	0.244565217391	-0.0493156867412
[13  15  24  26  33  36  41  49  54]	0.740217391304	0.5	0.134782608696	-0.133445708585
[2  17  20  28  36  42  56]	0.754347826087	0.5	0.2	-0.511595704886
