features	accuracy	lamda	sensitivity	classibias
[2  7  10  23  24  25  28  33  34  35  38  54  57]	0.597826086957	1.0	0.38152173913	1.1985121843
[38]	0.386956521739	1.0	0.382608695652	0.412661762688
[2  6  14  15  33  34  37  38  39  49  54]	0.585869565217	1.0	0.358695652174	0.42977266553
[6  13  29  33  48]	0.551086956522	1.0	0.394565217391	0.498764549459
[1  3  8  15  19  31  43  48  49]	0.471739130435	1.0	0.390217391304	1.17040297637
[1  33  45]	0.529347826087	1.0	0.329347826087	0.259916436021
[8  18  20  21  28  42  57]	0.488043478261	1.0	0.394565217391	1.38240383237
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.732608695652	1.0	0.428260869565	0.679952585879
[46]	0.482608695652	1.0	0.379347826087	0.287390542017
[3  18  21  22  31  32  36  38  42  53  56]	0.503260869565	1.0	0.402173913043	1.87836727261
[1  19  33  35  40]	0.505434782609	1.0	0.384782608696	0.751520226896
[1  13  15  17  25  36  43  56  57]	0.595652173913	1.0	0.423913043478	1.08139833583
[23  42  47]	0.454347826087	1.0	0.383695652174	0.646762388018
[16  22  24  29  41  49  54]	0.505434782609	1.0	0.403260869565	0.795150970379
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.508695652174	1.0	0.391304347826	1.36957211361
[50]	0.479347826087	1.0	0.380434782609	0.306661845093
[13  15  18  20  30  31  32  39  41  43  56]	0.510869565217	1.0	0.39347826087	1.16271950277
[14  24  38  47  54]	0.407608695652	1.0	0.395652173913	0.714023836456
[16  28  57]	0.442391304348	1.0	0.395652173913	1.09425099782
[2  13  17  23  29  37  49  52  53]	0.494565217391	1.0	0.389130434783	1.31065842365
[14  26  30  35  36  53  55]	0.547826086957	1.0	0.403260869565	1.32130091639
[44]	0.45	1.0	0.388043478261	0.358951966096
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.692391304348	1.0	0.386956521739	0.870567916677
[7  13  15  21  22  23  33  40  46  47  49]	0.516304347826	1.0	0.430434782609	1.47626824337
[4  25  32  35  56]	0.603260869565	1.0	0.380434782609	0.829855858366
[31  42  55]	0.495652173913	1.0	0.403260869565	1.37736102535
[8  21  26  30  33  35  37  50  55]	0.561956521739	1.0	0.415217391304	1.58732096851
[6  9  11  19  27  34  38]	0.572826086957	1.0	0.402173913043	1.07790337194
[10]	0.394565217391	1.0	0.394565217391	0.562507329254
[2  7  10  23  24  25  28  33  34  35  38  54  57]	0.601086956522	1.0	0.388043478261	1.12707294123
[2  6  14  15  33  34  37  38  39  49  54]	0.552173913043	1.0	0.371739130435	0.378028189785
[5  11  26  30  43]	0.564130434783	1.0	0.372826086957	0.525159553326
[19  28  36]	0.425	1.0	0.378260869565	0.822323648823
[13  15  24  26  33  36  41  49  54]	0.621739130435	1.0	0.404347826087	0.42125185025
[2  17  20  28  36  42  56]	0.505434782609	1.0	0.402173913043	1.23048004469
[38]	0.411956521739	1.0	0.405434782609	0.438972192952
[1  2  11  17  23  31  35  40  42  44  50]	0.566304347826	1.0	0.39347826087	0.71193198794
[8  10  14  23  26  27  38  40  43  44  46  47  48]	0.758695652174	1.0	0.384782608696	0.116340878374
[6  13  29  33  48]	0.55	1.0	0.413043478261	0.495976382195
[1  33  45]	0.541304347826	1.0	0.365217391304	0.295959750236
[1  3  8  15  19  31  43  48  49]	0.508695652174	1.0	0.391304347826	1.18237622444
[8  18  20  21  28  42  57]	0.476086956522	1.0	0.403260869565	1.42260628894
[46]	0.46847826087	1.0	0.376086956522	0.278139442526
[1  19  33  35  40]	0.508695652174	1.0	0.391304347826	0.759046852761
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.728260869565	1.0	0.404347826087	0.656936245499
[3  18  21  22  31  32  36  38  42  53  56]	0.485869565217	1.0	0.410869565217	1.91284200171
[23  42  47]	0.453260869565	1.0	0.385869565217	0.658499019283
[1  13  15  17  25  36  43  56  57]	0.584782608696	1.0	0.388043478261	1.03069110975
[16  22  24  29  41  49  54]	0.515217391304	1.0	0.396739130435	0.80490868403
[50]	0.482608695652	1.0	0.378260869565	0.308581733154
[14  24  38  47  54]	0.413043478261	1.0	0.404347826087	0.731010205693
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.501086956522	1.0	0.373913043478	1.30645318313
[16  28  57]	0.447826086957	1.0	0.388043478261	1.05382775448
[13  15  18  20  30  31  32  39  41  43  56]	0.538043478261	1.0	0.403260869565	1.1602412039
[2  13  17  23  29  37  49  52  53]	0.490217391304	1.0	0.373913043478	1.25933030076
[14  26  30  35  36  53  55]	0.546739130435	1.0	0.388043478261	1.36131682594
[44]	0.448913043478	1.0	0.401086956522	0.365828658715
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.673913043478	1.0	0.364130434783	0.862715093817
[4  25  32  35  56]	0.583695652174	1.0	0.391304347826	0.968013368121
[31  42  55]	0.525	1.0	0.410869565217	1.42997953322
[7  13  15  21  22  23  33  40  46  47  49]	0.466304347826	1.0	0.377173913043	1.34298530493
[8  21  26  30  33  35  37  50  55]	0.547826086957	1.0	0.398913043478	1.54090487506
[10]	0.388043478261	1.0	0.388043478261	0.55184927636
[19  28  36]	0.448913043478	1.0	0.376086956522	0.814855923935
[5  11  26  30  43]	0.570652173913	1.0	0.360869565217	0.529745651704
[2  7  10  23  24  25  28  33  34  35  38  54  57]	0.605434782609	1.0	0.396739130435	1.1738724864
[2  6  14  15  33  34  37  38  39  49  54]	0.570652173913	1.0	0.386956521739	0.413179824814
[2  17  20  28  36  42  56]	0.490217391304	1.0	0.394565217391	1.19470353754
