features	accuracy	lamda	sensitivity	classibias
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.776086956522	0.7	0.188043478261	-0.425643963888
[13  15  18  20  30  31  32  39  41  43  56]	0.715217391304	0.7	0.163043478261	-0.346387259203
[1  13  15  17  25  36  43  56  57]	0.714130434783	0.7	0.155434782609	-0.366881801256
[46]	0.60652173913	0.7	0.0	-0.18080942203
[16  22  24  29  41  49  54]	0.722826086957	0.7	0.117391304348	-0.279481683728
[23  42  47]	0.694565217391	0.7	0.108695652174	-0.292963888019
[1  19  33  35  40]	0.64347826087	0.5	0.13152173913	-0.425563042532
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.772826086957	0.5	0.186956521739	-0.409595223172
[13  15  18  20  30  31  32  39  41  43  56]	0.71847826087	0.5	0.142391304348	-0.299420567699
[16  22  24  29  41  49  54]	0.716304347826	0.5	0.139130434783	-0.319039306171
[46]	0.585869565217	0.5	0.0	-0.194338815272
[1  13  15  17  25  36  43  56  57]	0.738043478261	0.5	0.172826086957	-0.350400383666
[23  42  47]	0.70652173913	0.5	0.109782608696	-0.287645448078
[14  24  38  47  54]	0.660869565217	0.7	0.0565217391304	-0.265231353327
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.772826086957	0.7	0.208695652174	-0.458714475415
[50]	0.619565217391	0.7	0.0	-0.156355155795
[2  13  17  23  29  37  49  52  53]	0.753260869565	0.7	0.173913043478	-0.403670770445
[7  13  15  21  22  23  33  40  46  47  49]	0.814130434783	0.7	0.254347826087	-0.548622774715
[16  28  57]	0.698913043478	0.7	0.122826086957	-0.361526360254
[14  26  30  35  36  53  55]	0.707608695652	0.7	0.108695652174	-0.240479818962
[14  24  38  47  54]	0.648913043478	0.5	0.0510869565217	-0.263802288909
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.785869565217	0.5	0.198913043478	-0.428812508414
[2  13  17  23  29  37  49  52  53]	0.796739130435	0.5	0.177173913043	-0.39421524731
[50]	0.604347826087	0.5	0.0	-0.145450489579
[14  26  30  35  36  53  55]	0.678260869565	0.5	0.109782608696	-0.262344634183
[16  28  57]	0.692391304348	0.5	0.115217391304	-0.362305129572
[7  13  15  21  22  23  33  40  46  47  49]	0.825	0.5	0.223913043478	-0.524556717838
[6  13  29  33  48]	0.672826086957	0.7	0.0923913043478	-0.264907148987
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.788043478261	0.7	0.21847826087	-0.297480696866
[38]	0.605434782609	0.7	0.0	-0.21039023785
[1  3  8  15  19  31  43  48  49]	0.697826086957	0.7	0.182608695652	-0.529815944393
[8  18  20  21  28  42  57]	0.780434782609	0.7	0.19347826087	-0.549331662922
[1  33  45]	0.601086956522	0.7	0.0347826086957	-0.203429807958
[3  18  21  22  31  32  36  38  42  53  56]	0.788043478261	0.7	0.233695652174	-0.578244207419
[6  13  29  33  48]	0.697826086957	0.5	0.117391304348	-0.264301492211
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.775	0.5	0.202173913043	-0.319571806094
[1  3  8  15  19  31  43  48  49]	0.7	0.5	0.184782608696	-0.538196951502
[38]	0.605434782609	0.5	0.0	-0.209882755724
[8  18  20  21  28  42  57]	0.791304347826	0.5	0.207608695652	-0.544149996581
[1  33  45]	0.646739130435	0.5	0.0413043478261	-0.183290989265
[3  18  21  22  31  32  36  38  42  53  56]	0.790217391304	0.5	0.245652173913	-0.572187546903
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.755434782609	0.7	0.190217391304	-0.442054278922
[1  19  33  35  40]	0.657608695652	0.7	0.13152173913	-0.420590429918
[1  13  15  17  25  36  43  56  57]	0.729347826087	0.7	0.170652173913	-0.35128320331
[16  22  24  29  41  49  54]	0.719565217391	0.7	0.115217391304	-0.278330089694
[46]	0.608695652174	0.7	0.0	-0.181977284224
[23  42  47]	0.692391304348	0.7	0.104347826087	-0.29489049638
[13  15  18  20  30  31  32  39  41  43  56]	0.701086956522	0.7	0.11847826087	-0.307497157194
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.786956521739	0.5	0.183695652174	-0.424895051118
[1  19  33  35  40]	0.634782608696	0.5	0.120652173913	-0.431994970367
[1  13  15  17  25  36  43  56  57]	0.741304347826	0.5	0.145652173913	-0.362402871541
[16  22  24  29  41  49  54]	0.694565217391	0.5	0.120652173913	-0.30566740359
[13  15  18  20  30  31  32  39  41  43  56]	0.710869565217	0.5	0.139130434783	-0.308524000542
[46]	0.620652173913	0.5	0.0	-0.177064499666
[23  42  47]	0.680434782609	0.5	0.0967391304348	-0.297664153238
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.765217391304	0.7	0.207608695652	-0.466989883326
[14  24  38  47  54]	0.636956521739	0.7	0.0586956521739	-0.275587074229
[14  26  30  35  36  53  55]	0.683695652174	0.7	0.0945652173913	-0.262315835073
[2  13  17  23  29  37  49  52  53]	0.747826086957	0.7	0.154347826087	-0.392840701059
[50]	0.596739130435	0.7	0.0	-0.178161378654
[16  28  57]	0.696739130435	0.7	0.136956521739	-0.383488424694
[7  13  15  21  22  23  33  40  46  47  49]	0.803260869565	0.7	0.23152173913	-0.536206593865
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.782608695652	0.5	0.209782608696	-0.443188838659
[14  24  38  47  54]	0.64347826087	0.5	0.0619565217391	-0.275174234406
[14  26  30  35  36  53  55]	0.716304347826	0.5	0.116304347826	-0.245898940842
